tag with attr="type"	frequency
<subSubSection type="appendages measurements">	1
<subSubSection type="apterous viviparous female">	7
<subSubSection type="apterous viviparous females">	3
<subSubSection type="areas for further exploration">	1
<subSubSection type="argentinian species checklist">	34
<subSubSection type="artificial key to the species of the s. elaeagnifolium group">	1
<subSubSection type="assocations">	2
<subSubSection type="associated fauna">	1
<subSubSection type="associated insects">	3
<subSubSection type="associated species">	41
<subSubSection type="associated taxa">	2
<subSubSection type="associated with">	1
<subSubSection type="associates">	2
<subSubSection type="association with caves">	11
<subSubSection type="association">	1
<subSubSection type="associations">	60
<subSubSection type="attachment site">	2
<subSubSection type="attendant ants">	2
<subSubSection type="atypical specimens">	1
<subSubSection type="audio recordings">	1
<subSubSection type="augmented floral associations">	4
<subSubSection type="australian specimens of r. farmeri">	1
<subSubSection type="authors of description">	1
<subSubSection type="authors of the description">	1
<subSubSection type="authors’ contributions">	1
<subSubSection type="auxiliary specimen examined">	1
<subSubSection type="available data">	1
<subSubSection type="available names">	3
<subSubSection type="axial skeleton">	2
<subSubSection type="background">	1
<subSubSection type="baits">	3
<subSubSection type="balkan dna barcode clade">	1
<subSubSection type="barcode data">	6
<subSubSection type="barcode sequence of the holotype">	2
<subSubSection type="barcode sequences">	1
<subSubSection type="barcode">	1
<subSubSection type="barcodes">	8
<subSubSection type="barcoding">	1
<subSubSection type="basidia">	2
<subSubSection type="basidiocarps">	9
<subSubSection type="basidiomata">	12
<subSubSection type="basionym">	276
<subSubSection type="bathymetric range">	2
<subSubSection type="bee hosts">	4
<subSubSection type="beetle vector">	1
<subSubSection type="beetle vectors">	4
<subSubSection type="behavior">	2
<subSubSection type="behavior/ biology">	1
<subSubSection type="behavior/biology">	4
<subSubSection type="behavioral notes">	1
<subSubSection type="behavioral observations">	1
<subSubSection type="behavioral remarks">	1
<subSubSection type="behaviour">	2
<subSubSection type="bin id">	6
<subSubSection type="bins (shared with h. castoris)">	1
<subSubSection type="bins (shared with h. infinitus)">	1
<subSubSection type="bioacoustics">	5
<subSubSection type="biodiversity hotspot">	10
<subSubSection type="biogeographical characterization">	59
<subSubSection type="biogeography">	6
<subSubSection type="biological additions">	1
<subSubSection type="biological aspects">	26
<subSubSection type="biological data">	7
<subSubSection type="biological information">	1
<subSubSection type="biological note">	10
<subSubSection type="biological notes">	30
<subSubSection type="biological observation">	1
<subSubSection type="biological remarks">	1
<subSubSection type="biology and distribution">	17
<subSubSection type="biology and ecology">	22
<subSubSection type="biology and habitat">	1
<subSubSection type="biology and habits">	1
<subSubSection type="biology and host plant">	2
<subSubSection type="biology of dicoelothorax parviceps">	1
<subSubSection type="biology of the asian fly">	1
<subSubSection type="biology">	1271
<subSubSection type="biology/ecology">	241
<subSubSection type="biologyEcology">	4
<subSubSection type="biology_ecology">	13268
<subSubSection type="biology|habitat">	4
<subSubSection type="bioluminescent behavior">	1
<subSubSection type="biometry">	3
<subSubSection type="bionomic notes">	1
<subSubSection type="bionomics and distribution">	9
<subSubSection type="bionomics">	219
<subSubSection type="bionomie">	3
<subSubSection type="bionomy">	1
<subSubSection type="blocking name">	1
<subSubSection type="body color">	11
<subSubSection type="body length">	23
<subSubSection type="body size">	1
<subSubSection type="body">	13
<subSubSection type="branch–based definition">	1
<subSubSection type="breeding system">	1
<subSubSection type="breeding">	1
<subSubSection type="call">	6
<subSubSection type="calling song">	1
<subSubSection type="calls">	5
<subSubSection type="cameroon">	2
<subSubSection type="capoeta coadi specimens used for molecular genetic analysis">	1
<subSubSection type="capsules and seeds">	1
<subSubSection type="caption">	3
<subSubSection type="cardinal temperature for growth">	4
<subSubSection type="case">	3
<subSubSection type="caterpillar food plant">	3
<subSubSection type="caves">	177
<subSubSection type="cervical vertebrae">	1
<subSubSection type="chaetal variability">	1
<subSubSection type="chaetotaxy (l1)">	1
<subSubSection type="character assessment">	1
<subSubSection type="characteristics of ctenodactylini larvae">	1
<subSubSection type="characteristics of the cocoons">	1
<subSubSection type="characterization of brazilian specimens">	1
<subSubSection type="characterization">	3
<subSubSection type="characters of the genital structure">	2
<subSubSection type="characters of the radula">	2
<subSubSection type="characters used in the analysis. (running count in parenthesis)">	1
<subSubSection type="characters used">	1
<subSubSection type="characters">	7
<subSubSection type="checklist and distribution">	1
<subSubSection type="checklist of anthobosca species">	1
<subSubSection type="checklist of balta species from china">	1
<subSubSection type="checklist of eucorydia worldwide (chinese species in bold)">	1
<subSubSection type="checklist of fontidessus species">	1
<subSubSection type="checklist of meria species">	1
<subSubSection type="checklist of mesa species">	1
<subSubSection type="checklist of myzinella species">	1
<subSubSection type="checklist of sarima species">	1
<subSubSection type="checklist of species of bambusicaliscelis chen & zhang">	1
<subSubSection type="checklist of species of maiestas distant from the australian region">	1
<subSubSection type="checklist of species of neodurium fennah">	1
<subSubSection type="checklist of species of parandanus">	1
<subSubSection type="checklist of species of scaphoidella">	1
<subSubSection type="checklist of species of varma distant, 1906 in china">	1
<subSubSection type="checklist of the genus tambocerus in china">	1
<subSubSection type="checklist of the species of baconia">	1
<subSubSection type="checklist of tiphia species">	1
<subSubSection type="checklist">	150
<subSubSection type="cheironyms used">	2
<subSubSection type="chelicerae">	1
<subSubSection type="chemistry">	35
<subSubSection type="chihuahuan form">	1
<subSubSection type="chinese name">	4
<subSubSection type="chorological affinities and relationships">	46
<subSubSection type="chorological affinities">	16
<subSubSection type="chorology and ecology">	2
<subSubSection type="chorology">	69
<subSubSection type="choromsome number">	1
<subSubSection type="chorotype">	96
<subSubSection type="chresonyms">	2
<subSubSection type="chresonymy">	5
<subSubSection type="chromosome number">	7
<subSubSection type="chromosome numbers">	7
<subSubSection type="chromosomes">	1
<subSubSection type="cibdelis blaschkei larval, pupal and reared adult material examined">	1
<subSubSection type="circumscription">	6
<subSubSection type="citation of original description by amsel">	1
<subSubSection type="citations">	3
<subSubSection type="cladistic analysis">	1
<subSubSection type="cladistic relationship">	1
<subSubSection type="cladistics">	1
<subSubSection type="classification">	5
<subSubSection type="classificatory history and current circumscription">	4
<subSubSection type="classificatory history">	1
<subSubSection type="clave para las especies (translation by julio rivera)">	1
<subSubSection type="climate">	1
<subSubSection type="cnidom">	1
<subSubSection type="co-occurring species">	16
<subSubSection type="cocoon">	14
<subSubSection type="coexisting species">	18
<subSubSection type="coi barcode analysis">	2
<subSubSection type="coi dna sequence">	14
<subSubSection type="coi genbank accession numbers">	1
<subSubSection type="coi sequence">	2
<subSubSection type="coi sequences">	2
<subSubSection type="collected material">	12
<subSubSection type="collecting circumstances">	111
<subSubSection type="collecting events">	1
<subSubSection type="collecting method">	2
<subSubSection type="collecting methods">	1
<subSubSection type="collecting month and method">	232
<subSubSection type="collecting month and method.">	30
<subSubSection type="collecting notes and habitat">	1
<subSubSection type="collecting observations">	1
<subSubSection type="collecting site">	1
<subSubSection type="collecting sites">	1
<subSubSection type="collection and habitat data">	591
<subSubSection type="collection and habitat notes">	2
<subSubSection type="collection and natural history">	28
<subSubSection type="collection examined">	1
<subSubSection type="collection notes and habitat">	6
<subSubSection type="collection notes">	27
<subSubSection type="collection">	847
<subSubSection type="collection/ecological information for other specimens not reported here">	1
<subSubSection type="collection/ecological information">	20
<subSubSection type="collections and localities">	1
<subSubSection type="collections examined">	3
<subSubSection type="cology">	1
<subSubSection type="colony diam">	2
<subSubSection type="color and habitus of living final instar larva">	1
<subSubSection type="color and morphology of live animals">	12
<subSubSection type="color in alcohol">	18
<subSubSection type="color in ethanol">	3
<subSubSection type="color in life of holotype">	4
<subSubSection type="color in life of tadpoles">	1
<subSubSection type="color in life of the holotype">	1
<subSubSection type="color in life">	38
<subSubSection type="color in preservation">	1
<subSubSection type="color in preservative of tadpoles">	1
<subSubSection type="color in preservative of the holotype">	2
<subSubSection type="color of holotype in ethanol 70%">	1
<subSubSection type="color of holotype in life">	10
<subSubSection type="color of holotype in preservative">	12
<subSubSection type="color of holotype">	1
<subSubSection type="color of paratype male in life">	1
<subSubSection type="color of preserved specimens">	1
<subSubSection type="color of the holotype in life">	3
<subSubSection type="color pattern in life">	3
<subSubSection type="color pattern in preservation">	2
<subSubSection type="color pattern of holotype in preservative">	1
<subSubSection type="color pattern ontogeny">	25
<subSubSection type="color pattern">	6
<subSubSection type="color variation">	3
<subSubSection type="color variations">	2
<subSubSection type="color">	69
<subSubSection type="coloration (in alcohol)">	1
<subSubSection type="coloration (in life)">	1
<subSubSection type="coloration detail">	1
<subSubSection type="coloration in alcohol">	4
<subSubSection type="coloration in lif">	1
<subSubSection type="coloration in life of holotype">	1
<subSubSection type="coloration in life of the neotype">	1
<subSubSection type="coloration in life">	18
<subSubSection type="coloration in preservation">	13
<subSubSection type="coloration in preservative (70% alcohol)">	1
<subSubSection type="coloration in preservative of the neotype">	1
<subSubSection type="coloration in preservative">	7
<subSubSection type="coloration of holotype in alcohol">	4
<subSubSection type="coloration of holotype in life">	12
<subSubSection type="coloration of holotype in preservative">	6
<subSubSection type="coloration of holotype">	2
<subSubSection type="coloration of live specimen">	1
<subSubSection type="coloration of the holotype (in preservative)">	1
<subSubSection type="coloration of the holotype in alcohol">	2
<subSubSection type="coloration of the holotype in life">	2
<subSubSection type="coloration of the holotype in preservative">	3
<subSubSection type="coloration of the holotype">	1
<subSubSection type="coloration of the species in life">	2
<subSubSection type="coloration">	59
<subSubSection type="colour in life">	11
<subSubSection type="colour of holotype in life">	1
<subSubSection type="colour of holotype in preservative">	1
<subSubSection type="colour of the holotype in preservative">	3
<subSubSection type="colour pattern in preservation">	1
<subSubSection type="colour pattern">	13
<subSubSection type="colour variation">	1
<subSubSection type="colour">	49
<subSubSection type="colouration in alcohol">	9
<subSubSection type="colouration in alcohol.">	1
<subSubSection type="colouration in life">	13
<subSubSection type="colouration in preservation">	1
<subSubSection type="colouration in preservative">	1
<subSubSection type="colouration of holotype in alcohol">	4
<subSubSection type="colouration of holotype">	1
<subSubSection type="colouration of the holotype in alcohol">	1
<subSubSection type="colouration of the holotype in life">	2
<subSubSection type="colouration of the holotype in preservative">	1
<subSubSection type="colouration when fresh">	1
<subSubSection type="colouration">	23
<subSubSection type="column">	1
<subSubSection type="coments">	1
<subSubSection type="commensal relationship">	1
<subSubSection type="comment on identity">	1
<subSubSection type="comment on synonymy">	2
<subSubSection type="comment">	76
<subSubSection type="commentaries">	1
<subSubSection type="commentary">	3
<subSubSection type="comments and comparative notes">	4
<subSubSection type="comments on generic diagnosis">	1
<subSubSection type="comments on lectotype designation">	4
<subSubSection type="comments on synonymy and species status">	1
<subSubSection type="comments on synonymy">	31
<subSubSection type="comments on the synonymy">	1
<subSubSection type="comments">	2660
<subSubSection type="common japanese name">	1
<subSubSection type="common name and uses">	1
<subSubSection type="common name">	77
<subSubSection type="common name: the auburn tiger trapdoor spider">	1
<subSubSection type="common names and uses">	27
<subSubSection type="common names and uses. ecuador">	2
<subSubSection type="common names">	93
<subSubSection type="comparation with the other subspecies and co-inhabiting species">	1
<subSubSection type="comparation with the other subspecies">	2
<subSubSection type="comparative comments">	1
<subSubSection type="comparative diagnosis">	42
<subSubSection type="comparative discussion">	2
<subSubSection type="comparative material examined">	14
<subSubSection type="comparative material">	9
<subSubSection type="comparative morphology">	7
<subSubSection type="comparative morphometry">	1
<subSubSection type="comparative notes and comments">	2
<subSubSection type="comparative notes">	114
<subSubSection type="comparative remarks">	17
<subSubSection type="comparative taxa">	1
<subSubSection type="compared material">	2
<subSubSection type="comparison between elpidium and intrepidocythere">	1
<subSubSection type="comparison of dasumia gasparoi sp. n. and dasumia mariandyna">	1
<subSubSection type="comparison with baltic amber entimine genera">	1
<subSubSection type="comparison with other genera">	1
<subSubSection type="comparison with other santocellus species">	1
<subSubSection type="comparison with other species">	7
<subSubSection type="comparison with other taxa">	1
<subSubSection type="comparison with recent genera">	1
<subSubSection type="comparison">	45
<subSubSection type="comparisons and diagnostic notes">	15
<subSubSection type="comparisons with other neotropical genera of termitinae">	1
<subSubSection type="comparisons with other species">	5
<subSubSection type="comparisons with other taxa">	1
<subSubSection type="comparisons with related species">	1
<subSubSection type="comparisons">	209
<subSubSection type="complementary description of the female imago (allotype)">	1
<subSubSection type="complementary description of the male imago (holotype)">	1
<subSubSection type="complementary description of the male subimago">	1
<subSubSection type="component species">	6
<subSubSection type="composition and distribution">	2
<subSubSection type="composition and remarks">	1
<subSubSection type="composition of the genus auyantepuia">	1
<subSubSection type="composition">	102
<subSubSection type="compostion">	1
<subSubSection type="comprised species">	1
<subSubSection type="concluding comment">	1
<subSubSection type="conclusion">	1
<subSubSection type="conclusions">	12
<subSubSection type="conclusive remarks">	1
<subSubSection type="congo republic">	2
<subSubSection type="conservation and invasiveness">	1
<subSubSection type="conservation assessment">	19
<subSubSection type="conservation efforts">	1
<subSubSection type="conservation implications">	1
<subSubSection type="conservation notes">	2
<subSubSection type="conservation state">	1
<subSubSection type="conservation status and threats">	2
<subSubSection type="conservation status">	954
<subSubSection type="conservation status.">	4
<subSubSection type="conservation">	412
<subSubSection type="conservationStatus">	115
<subSubSection type="content">	14
<subSubSection type="contents and distribution">	2
<subSubSection type="context">	2
<subSubSection type="copulatory apparatus">	11
<subSubSection type="coral host holotype">	1
<subSubSection type="coral host">	1
<subSubSection type="corrections to srisonchai et al. (2016)">	3
<subSubSection type="courtship song">	1
<subSubSection type="cranium">	3
<subSubSection type="criteria for species definition">	1
<subSubSection type="critical note">	5
<subSubSection type="critical notes">	5
<subSubSection type="cross diagnosis">	91
<subSubSection type="ctenidium and labial palps">	3
<subSubSection type="cultivated material">	1
<subSubSection type="cultivated plants">	2
<subSubSection type="cultivated">	3
<subSubSection type="cultivation note">	1
<subSubSection type="current accepted name">	1
<subSubSection type="current combination">	1
<subSubSection type="current generic position">	93
<subSubSection type="current host">	32
<subSubSection type="current hosts">	1
<subSubSection type="current identity">	19
<subSubSection type="current known number of undescribed western hemisphere species">	1
<subSubSection type="current status">	288
<subSubSection type="current systematic position">	823
<subSubSection type="current taxonomic allocation">	62
<subSubSection type="current taxonomic status">	68
<subSubSection type="currently valid names">	2
<subSubSection type="cystidia">	2
<subSubSection type="cytogenetic analysis">	1
<subSubSection type="cytogenetic data">	7
<subSubSection type="cytology">	1
<subSubSection type="daily activity">	5
<subSubSection type="date of occurrence">	3
<subSubSection type="date">	2
<subSubSection type="dates of occurrence">	4
<subSubSection type="dates">	1
<subSubSection type="decision for synonymy">	2
<subSubSection type="decisions for synonymy">	4
<subSubSection type="dedication">	1
<subSubSection type="definition">	19
<subSubSection type="democratic republic of congo">	2
<subSubSection type="density">	1
<subSubSection type="dentary teeth">	6
<subSubSection type="dentary">	2
<subSubSection type="dentition">	3
<subSubSection type="deposition of types">	3
<subSubSection type="depository of the type">	1
<subSubSection type="depth distributions">	1
<subSubSection type="depth range">	24
<subSubSection type="derivatio nominis">	24
<subSubSection type="derivation of epithet">	1
<subSubSection type="derivation of generic name">	4
<subSubSection type="derivation of genus name">	4
<subSubSection type="derivation of name">	16
<subSubSection type="derivation of scientific epithet">	3
<subSubSection type="derivation of species name">	12
<subSubSection type="derivation of specific epithet">	91
<subSubSection type="derivation of the name">	2
<subSubSection type="derivation">	10
<subSubSection type="descri">	1
<subSubSection type="described species">	39
<subSubSection type="descriprion">	1
<subSubSection type="description (anamorph male)">	1
<subSubSection type="description (based on holotype only)">	3
<subSubSection type="description (female)">	2
<subSubSection type="description (holotype)">	1
<subSubSection type="description (male)">	30
<subSubSection type="description (updated)">	1
<subSubSection type="description - adult female">	1
<subSubSection type="description - adult male">	1
<subSubSection type="description and comparisons">	1
<subSubSection type="description and diagnosis">	3
<subSubSection type="description and differential diagnosis">	1
<subSubSection type="description based on the designed neotype">	1
<subSubSection type="description female">	14
<subSubSection type="description for shell form 5504">	1
<subSubSection type="description for shell form 5507">	1
<subSubSection type="description from type">	2
<subSubSection type="description from types">	1
<subSubSection type="description of a larva 8 pl (no. 5)">	1
<subSubSection type="description of adult female">	2
<subSubSection type="description of adult male">	3
<subSubSection type="description of adult">	4
<subSubSection type="description of adults">	7
<subSubSection type="description of adults, males and females">	1
<subSubSection type="description of apterous female">	1
<subSubSection type="description of apterous male">	1
<subSubSection type="description of calls">	1
<subSubSection type="description of eggs and tadpoles">	2
<subSubSection type="description of female (holotype)">	4
<subSubSection type="description of female and lectotype male">	1
<subSubSection type="description of female exemplar">	10
<subSubSection type="description of female holotype">	5
<subSubSection type="description of female paratype b">	1
<subSubSection type="description of female paratype">	14
<subSubSection type="description of female terminalia">	1
<subSubSection type="description of female">	42
<subSubSection type="description of fifth instar">	1
<subSubSection type="description of holotype female">	2
<subSubSection type="description of holotype larva">	2
<subSubSection type="description of holotype male">	1
<subSubSection type="description of holotype">	82
<subSubSection type="description of larvae">	1
<subSubSection type="description of lectotype">	4
<subSubSection type="description of locality">	2
<subSubSection type="description of major workers">	6
<subSubSection type="description of male (holotype)">	4
<subSubSection type="description of male (new to science)">	1
<subSubSection type="description of male allotype">	1
<subSubSection type="description of male exemplar">	2
<subSubSection type="description of male holotype a">	1
<subSubSection type="description of male holotype">	27
<subSubSection type="description of male neotype">	1
<subSubSection type="description of male syntype">	1
<subSubSection type="description of male">	41
<subSubSection type="description of mature larva">	1
<subSubSection type="description of mauritius and seychelles material">	2
<subSubSection type="description of minor workers">	9
<subSubSection type="description of neotype">	2
<subSubSection type="description of nests">	4
<subSubSection type="description of new material">	1
<subSubSection type="description of nhmw 2407">	1
<subSubSection type="description of ovigerous female">	1
<subSubSection type="description of paratype female">	2
<subSubSection type="description of paratype">	1
<subSubSection type="description of phragmotic major worker">	1
<subSubSection type="description of phragmotic major workers">	1
<subSubSection type="description of pupa">	1
<subSubSection type="description of song">	16
<subSubSection type="description of subadult female, 12 pl (no. 2)">	1
<subSubSection type="description of tadpole">	1
<subSubSection type="description of the 5th instar larva">	3
<subSubSection type="description of the adult female">	2
<subSubSection type="description of the adult male">	1
<subSubSection type="description of the anatomy">	2
<subSubSection type="description of the designated lectotype, mnhn 3238">	1
<subSubSection type="description of the deutonymph">	1
<subSubSection type="description of the eggs">	2
<subSubSection type="description of the female">	8
<subSubSection type="description of the female.">	1
<subSubSection type="description of the females">	1
<subSubSection type="description of the first-instar nymph">	2
<subSubSection type="description of the fossil">	1
<subSubSection type="description of the genital organs">	2
<subSubSection type="description of the genitalia">	12
<subSubSection type="description of the holotype (male)">	1
<subSubSection type="description of the holotype male">	1
<subSubSection type="description of the holotype">	25
<subSubSection type="description of the holotype, male">	3
<subSubSection type="description of the lectotype ♂">	1
<subSubSection type="description of the lectotype">	1
<subSubSection type="description of the male holotype.">	1
<subSubSection type="description of the male">	4
<subSubSection type="description of the nest">	1
<subSubSection type="description of the paralectotype, mnhn 3239, and an additional specimen, nmsl 5161">	1
<subSubSection type="description of the paratypes">	1
<subSubSection type="description of the second-instar female">	1
<subSubSection type="description of the shell">	3
<subSubSection type="description of the third-instar female">	1
<subSubSection type="description of the type locality">	2
<subSubSection type="description of the worker caste">	1
<subSubSection type="description of third instar">	3
<subSubSection type="description of two adult females">	1
<subSubSection type="description of workers">	4
<subSubSection type="description synopsis with overview of morphological variation">	1
<subSubSection type="description – female">	11
<subSubSection type="description – male">	1
<subSubSection type="description">	134941
<subSubSection type="description, female">	2
<subSubSection type="description, holotype">	1
<subSubSection type="description, male">	4
<subSubSection type="description. female">	2
<subSubSection type="description.">	4
<subSubSection type="descriptions">	41
<subSubSection type="descriptive notes based on the lectotype">	1
<subSubSection type="descriptive notes based on the syntype ♂">	1
<subSubSection type="descriptive notes of type specimen">	2
<subSubSection type="descriptive notes">	68
<subSubSection type="descripton">	1
<subSubSection type="descsription">	1
<subSubSection type="desctiption">	1
<subSubSection type="designation of neotype">	1
<subSubSection type="destribution">	1
<subSubSection type="detailed comparison of dasumia gasparoisp. n. anddasumia crassipalpis">	1
<subSubSection type="detailed diagnosis">	1
<subSubSection type="details of holotype">	2
<subSubSection type="details of neotype">	1
<subSubSection type="deutonymph">	1
<subSubSection type="development of m. gamsii in nematode eggs in vitro">	1
<subSubSection type="development">	1
<subSubSection type="dexcription">	1
<subSubSection type="diagnose">	7
<subSubSection type="diagnoses">	12
<subSubSection type="diagnosi">	1
<subSubSection type="diagnosis (anamorph male)">	1
<subSubSection type="diagnosis (both sexes)">	1
<subSubSection type="diagnosis (emended)">	3
<subSubSection type="diagnosis (female only)">	6
<subSubSection type="diagnosis (female)">	2
<subSubSection type="diagnosis (genitalia)">	1
<subSubSection type="diagnosis (habitus)">	1
<subSubSection type="diagnosis (key characters embolded)">	2
<subSubSection type="diagnosis (male and female)">	16
<subSubSection type="diagnosis (male only)">	3
<subSubSection type="diagnosis (male)">	21
<subSubSection type="diagnosis (revised)">	1
<subSubSection type="diagnosis (updated)">	1
<subSubSection type="diagnosis adult female">	4
<subSubSection type="diagnosis among introduced pheidole">	5
<subSubSection type="diagnosis among introduced">	9
<subSubSection type="diagnosis and affinities">	1
<subSubSection type="diagnosis and comments">	4
<subSubSection type="diagnosis and comparison">	5
<subSubSection type="diagnosis and description">	22
<subSubSection type="diagnosis and identification">	1
<subSubSection type="diagnosis and re-description">	1
<subSubSection type="diagnosis and relationships">	4
<subSubSection type="diagnosis and remarks">	5
<subSubSection type="diagnosis for the sabah species">	11
<subSubSection type="diagnosis of adult female">	1
<subSubSection type="diagnosis of adult male">	1
<subSubSection type="diagnosis of adult">	1
<subSubSection type="diagnosis of adults">	1
<subSubSection type="diagnosis of female">	2
<subSubSection type="diagnosis of genus">	3
<subSubSection type="diagnosis of larvae">	1
<subSubSection type="diagnosis of male">	1
<subSubSection type="diagnosis of the genus sylphella gen. n">	1
<subSubSection type="diagnosis of the genus">	1
<subSubSection type="diagnosis of the new species">	1
<subSubSection type="diagnosis of third instar">	3
<subSubSection type="diagnosis of worker">	10
<subSubSection type="diagnosis">	67525
<subSubSection type="diagnosis.">	9
<subSubSection type="diagnostic characters of the genus">	1
<subSubSection type="diagnostic characters">	91
<subSubSection type="diagnostic combination">	4
<subSubSection type="diagnostic comments">	3
<subSubSection type="diagnostic couplet">	1
<subSubSection type="diagnostic description">	318
<subSubSection type="diagnostic features of the shell">	2
<subSubSection type="diagnostic features of x. berenbaumae">	1
<subSubSection type="diagnostic features">	2
<subSubSection type="diagnostic key to female of the western hemisphere">	1
<subSubSection type="diagnostic remarks">	5
<subSubSection type="diagonosis">	2
<subSubSection type="dichotomous key to the species of muzoa">	1
<subSubSection type="dicussion">	1
<subSubSection type="diferential diagnosis">	2
<subSubSection type="difference with coladenia buchananii buchananii (de nicéville, 1889)">	1
<subSubSection type="differences between the first instar larvae and adults">	1
<subSubSection type="differences with other genera of helluonini in the oriental region">	1
<subSubSection type="different diagnosis">	1
<subSubSection type="differential dagnosis">	3
<subSubSection type="differential diagnosis and relationships">	1
<subSubSection type="differential diagnosis and remarks">	2
<subSubSection type="differential diagnosis of the c. obsoletus species group">	1
<subSubSection type="differential diagnosis of the montiphylax species">	1
<subSubSection type="differential diagnosis with other materiel examined">	1
<subSubSection type="differential diagnosis">	677
<subSubSection type="differential diagnsosis">	1
<subSubSection type="differential worker diagnosis">	3
<subSubSection type="differentiating features">	9
<subSubSection type="differentiation of the genus">	2
<subSubSection type="differentiation">	2
<subSubSection type="digestive system">	15
<subSubSection type="dignosis (based on the male only)">	1
<subSubSection type="dignosis">	1
<subSubSection type="dimensions (female) (mm)">	1
<subSubSection type="dimensions (male) (mm)">	1
<subSubSection type="dimensions (mm)">	6
<subSubSection type="dimensions in mm (female)">	2
<subSubSection type="dimensions in mm (male)">	1
<subSubSection type="dimensions in mm (male/female)">	1
<subSubSection type="dimensions in mm">	9
<subSubSection type="dimensions of holotype">	1
<subSubSection type="dimensions">	729
<subSubSection type="dimorphism">	2
<subSubSection type="dinoponera biology">	1
<subSubSection type="discovery">	2
<subSubSection type="discription">	2
<subSubSection type="discusison">	2
<subSubSection type="discussion and conclusion">	1
<subSubSection type="discussion of distribution">	1
<subSubSection type="discussion of nesting">	1
<subSubSection type="discussion of the new genus">	1
<subSubSection type="discussion">	70094
<subSubSection type="discussion.">	11
<subSubSection type="discussion: generic placement">	1
<subSubSection type="discussionl">	1
<subSubSection type="discussions">	1
<subSubSection type="disease response">	2
<subSubSection type="dispersal history of the golden jackal in europe">	1
<subSubSection type="dispersal potential">	82
<subSubSection type="dispersal power">	3
<subSubSection type="dispersal rate on land">	1
<subSubSection type="dispersal">	2
<subSubSection type="disribution in sabah">	1
<subSubSection type="disribution">	7
<subSubSection type="disscussion">	1
<subSubSection type="distibution">	3
<subSubSection type="distinction from other species">	1
<subSubSection type="distinction from other taxa">	1
<subSubSection type="distinctive diagnostic features">	5
<subSubSection type="distinguishing characters">	6
<subSubSection type="distinguishing features">	106
<subSubSection type="distinguishing species">	6
<subSubSection type="distingushing features">	1
<subSubSection type="distrbution">	1
<subSubSection type="distribtution">	4
<subSubSection type="distribute">	1
<subSubSection type="distribution (see fig. 1 for the locality numbers)">	1
<subSubSection type="distribution and biology">	176
<subSubSection type="distribution and bionomics">	1
<subSubSection type="distribution and conservation status">	7
<subSubSection type="distribution and conservation">	3
<subSubSection type="distribution and conversation status">	2
<subSubSection type="distribution and diversity">	1
<subSubSection type="distribution and ecological notes">	2
<subSubSection type="distribution and ecological remarks">	2
<subSubSection type="distribution and ecology">	82
<subSubSection type="distribution and habitat data">	1
<subSubSection type="distribution and habitat">	185
<subSubSection type="distribution and host-plant">	1
<subSubSection type="distribution and hosts">	1
<subSubSection type="distribution and iucn red list category">	1
<subSubSection type="distribution and natural history">	60
<subSubSection type="distribution and records">	8
<subSubSection type="distribution and taxonomic notes">	10
<subSubSection type="distribution in argentina">	26
<subSubSection type="distribution in bali">	18
<subSubSection type="distribution in canada and alaska">	363
<subSubSection type="distribution in canada">	1
<subSubSection type="distribution in eastern mediterranean area">	1
<subSubSection type="distribution in india">	1
<subSubSection type="distribution in turkey">	166
<subSubSection type="distribution map">	2
<subSubSection type="distribution of the genus dubinectes">	1
<subSubSection type="distribution records">	1
<subSubSection type="distribution">	127740
<subSubSection type="distribution, behaviour and habitat">	1
<subSubSection type="distribution, conservation and threats">	1
<subSubSection type="distribution, ecology and conservation">	1
<subSubSection type="distribution, ecology and host">	1
<subSubSection type="distribution, habitat and ecology">	2
<subSubSection type="distribution, laboratory records and dna sequence information">	1
<subSubSection type="distribution, natural history, and threats">	2
<subSubSection type="distribution.">	4
<subSubSection type="distributon">	3
<subSubSection type="distrubution">	1
<subSubSection type="diversity and distribution">	2
<subSubSection type="diversity">	572
<subSubSection type="dna analysis">	5
<subSubSection type="dna barcode (coi)">	1
<subSubSection type="dna barcode of holotype">	1
<subSubSection type="dna barcode">	41
<subSubSection type="dna barcodes">	35
<subSubSection type="dna barcoding">	18
<subSubSection type="dna coi barcode">	2
<subSubSection type="dna data">	6
<subSubSection type="dna sequence variation">	1
<subSubSection type="dna sequences">	12
<subSubSection type="dna sequences. coi">	2
<subSubSection type="dna">	3
<subSubSection type="dna-barcode">	1
<subSubSection type="dna-barcodes">	1
<subSubSection type="dorsal microsculpture">	1
<subSubSection type="dorsal region">	1
<subSubSection type="dorsum">	2
<subSubSection type="dubious records">	1
<subSubSection type="early shield development">	1
<subSubSection type="early stages">	2
<subSubSection type="ecological and biological notes">	4
<subSubSection type="ecological characteristics">	14
<subSubSection type="ecological characters">	1
<subSubSection type="ecological comments">	2
<subSubSection type="ecological data">	3
<subSubSection type="ecological features">	2
<subSubSection type="ecological interactions">	2826
<subSubSection type="ecological note">	6
<subSubSection type="ecological notes and biogeography">	1
<subSubSection type="ecological notes and distribution">	2
<subSubSection type="ecological notes">	127
<subSubSection type="ecological remarks">	4
<subSubSection type="ecological role">	26
<subSubSection type="ecological type">	2
<subSubSection type="ecologically and/or morphologically similar species">	1
<subSubSection type="ecology and accompanying fauna">	1
